지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
용답,187,29895,44333,97924,169323,85621,62355,61319,68422,75127,75233,82303,97940,109495,152345,102737,64479,69122,59151,36856,2936,15,0,0
용두(동대문구청),193,14036,25635,77770,155148,82289,67135,73184,72627,81849,86627,94176,90357,97916,146740,89232,49973,45687,31814,18777,1860,20,0,0
용마산,14,10336,23668,50068,76715,44919,29033,25287,26437,27802,26159,28445,32287,38255,53311,48706,29263,27044,24779,15072,5266,15,0,0
용문,2897,8699,26098,54140,79798,57499,80429,115225,116993,107843,122537,114630,119381,98762,68807,51539,40833,25413,19895,15505,7946,36,0,0
용산,3516,104095,422730,928102,1834005,1300051,959256,926652,954323,1068294,1040676,1242121,1324087,1660386,2298966,1402495,1116059,974080,598696,227898,20727,13,0,0
우장산,24,72426,268305,734510,837497,460743,349012,352306,383269,406265,397430,442095,487627,549859,781577,607730,364877,318918,285878,153418,18567,50,0,0
운길산,3,3153,13664,23899,33971,42210,44277,44755,40750,36799,47000,50684,52432,47441,33690,26207,16840,11090,8340,5111,1169,1,0,0
운서,321,81707,168313,284811,340125,192060,145874,164540,175428,171005,168971,199021,223964,297838,363300,251372,203241,195197,176071,106025,40473,33,0,0
운정,387,36792,199928,360300,344551,161147,130439,123160,134809,135451,129055,147712,187704,230815,316590,264095,157827,146292,111127,54035,24561,5,0,0
원당,2655,106350,284631,570742,636591,368045,287983,280330,298093,297965,292384,314056,358948,440357,553732,492055,299344,267218,228151,119270,9391,19,0,0
원덕,422,3654,6345,12776,15950,14832,17056,16505,14655,11471,15244,16858,16820,18534,14319,10763,6294,6485,3354,2604,1432,0,0,0
원인재,491,38565,93198,195579,232191,129270,104889,109353,119455,128109,122713,133800,150341,189548,248052,166359,127507,122429,91655,60075,14227,2,0,0
